county,year,month,wildfire_acres
Fresno,2005.0,6.0,2371.546
Fresno,2005.0,7.0,9758.868912
Fresno,2005.0,8.0,3949.2908720121704
Fresno,2006.0,5.0,1926.0580000000004
Fresno,2006.0,6.0,369.2674999999999
Fresno,2006.0,7.0,11934.317900000007
Fresno,2006.0,8.0,160.56485999999998
Fresno,2006.0,10.0,118.42371763688665
Fresno,2007.0,3.0,140.68935999999997
Fresno,2007.0,4.0,98.08347000000016
Fresno,2007.0,5.0,193.51099999999997
Fresno,2007.0,8.0,3766.006589358427
Fresno,2007.0,9.0,83.05219999999998
Fresno,2008.0,7.0,11648.090000000044
Fresno,2008.0,9.0,12.723070000000003
Fresno,2008.0,10.0,7.415349000000002
Fresno,2008.0,,1643.2735979999989
Fresno,2009.0,5.0,8.226517999999999
Fresno,2009.0,6.0,75.28298000000002
Fresno,2009.0,7.0,76.77737
Fresno,2009.0,9.0,35.12801000000002
Fresno,2010.0,6.0,236.68310000000025
Fresno,2010.0,7.0,9021.522000000006
Fresno,2011.0,5.0,324.3595
Fresno,2011.0,6.0,162.78980000000004
Fresno,2011.0,7.0,56.97903999999998
Fresno,2011.0,8.0,25.80125000000001
Fresno,2011.0,9.0,295.40085999999997
Fresno,2011.0,10.0,21.61276999999999
Fresno,2011.0,12.0,25.398600000000005
Fresno,2012.0,2.0,21.09004000000001
Fresno,2012.0,5.0,54.678800000000045
Fresno,2012.0,6.0,90.84224000000002
Fresno,2012.0,7.0,433.8283100000001
Fresno,2012.0,8.0,863.8889200000004
Fresno,2013.0,5.0,11.432560000000002
Fresno,2013.0,6.0,177.45855999999992
Fresno,2013.0,7.0,22934.318004875593
Fresno,2013.0,8.0,823.03191
Fresno,2014.0,1.0,114.85503000000003
Fresno,2014.0,6.0,71.99478000000003
Fresno,2014.0,7.0,2.0404911817028863
Fresno,2014.0,8.0,7.994719000000002
Fresno,2014.0,10.0,0.5039231999999999
Fresno,2015.0,7.0,150451.232565065
Fresno,2015.0,8.0,32.64508000000001
Fresno,2015.0,9.0,137.32569999999998
Fresno,2015.0,10.0,160.72989999999996
Fresno,2015.0,,29.41239999999999
Fresno,2016.0,4.0,243.08131
Fresno,2016.0,5.0,421.1795000000003
Fresno,2016.0,6.0,18.33353
Fresno,2016.0,7.0,5767.253580000003
Fresno,2016.0,8.0,6864.671579999994
Fresno,2016.0,9.0,980.1897700000002
Fresno,2016.0,10.0,2099.0570000000002
Fresno,2017.0,4.0,4693.448000000016
Fresno,2017.0,5.0,11189.921389999996
Fresno,2017.0,6.0,433.23184
Fresno,2017.0,7.0,32161.815648638076
Fresno,2017.0,8.0,303.9996799999998
Fresno,2017.0,9.0,517.4670319999999
Fresno,2017.0,10.0,57.05462
Fresno,2018.0,5.0,1082.6157646985305
Fresno,2018.0,6.0,127.38462399999996
Fresno,2018.0,7.0,8.838485999999996
Fresno,2018.0,8.0,174.52481799999978
Fresno,2018.0,10.0,44.36879
